Situation,Before tax income,Baseline after tax income,Baseline North Carolina net tax liability,Reform after tax income,Reform North Carolina net tax liability,"North Carolina net tax liability change, dollars","North Carolina net tax liability change, percent",,Percent of population,Number of population,Total baseline tax revenue,Total reform tax revenue
"Single, no kids, low income",13260,14483.197,26.799,14481.922,28.074,1.2749996,0.047576386,,0.0150,"69,770","$1,869,769","$1,958,725"
"Single, no kids, middle income",40800,34130.355,1006.94495,34060.23,1077.07,70.125,0.069641344,,0.0650,"302,337","$304,436,769","$325,638,170"
"Single, no kids, high income",91800,71037.49,2820.81,70839.87,3018.435,197.625,0.070059665,,0.1200,"558,161","$1,574,465,324","$1,684,771,836"
"Married filing jointly, no kids, low income",25500,25067.197,17,25067.197,17,0,0,,0.0175,"81,398","$1,383,773","$1,383,773"
"Married filing jointly, no kids, middle income",71400,60434.797,1650.1049,60320.047,1764.855,114.75012,0.06954111,,0.0600,"279,080","$460,511,865","$492,536,364"
"Married filing jointly, no kids, high income",163200,128460.31,4915.89,128116.06,5260.14,344.25,0.07002801,,0.1725,"802,356","$3,944,293,969","$4,220,505,031"
"Head of household, 2 kids, low income",20400,38208.348,14,38208.348,14,0,0,,0.0175,"81,398","$1,139,578","$1,139,578"
"Head of household, 2 kids, middle income",61200,56536.17,1405.0275,56438.484,1502.7151,97.68762,0.069527194,,0.0625,"290,709","$408,453,726","$436,852,361"
"Head of household, 2 kids, high income",153000,120643.984,4775.512,120309.3,5110.1997,334.6875,0.0700841,,0.1700,"790,728","$3,776,129,518","$4,040,776,346"
"Married, 2 kids, low income",25500,44807.477,17,44807.477,17,0,0,,0.0175,"81,398","$1,383,773","$1,383,773"
"Married, 2 kids, middle income",76500,69876.21,1691.9374,69758.71,1809.4375,117.50012,0.069447085,,0.0600,"279,080","$472,186,494","$504,978,464"
"Married, 2 kids, high income",204000,160954.25,6367.35,160508,6813.6,446.25,0.0700841,,0.2225,"1,034,923","$6,589,716,907","$7,051,551,292"
,,,,,,,,,,,,
,,,,,,,,,1.0000,"4,651,339","$17,535,971,465","$18,763,475,714"
,,,,,,,,,,,,
,,,,,,,,North Carolina population of tax filers,"4,651,339",2026-2027 Total revenue data,"$19,096,000,000",
,,,,,,,,North Carolina population,"11,325,000",2026-2027 Projected total baseline revenue,"$17,535,971,465",
,,,,,,,,,,2026-2027 Projected total reform revenue,"$18,763,475,714",
,,,,,,,,,,,,
,,,,,,,,,,Diff,"$1,227,504,249",
,,,,,,,,,,Pct Diff,7.0%,
