The Pew Charitable Trusts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read more about our sources and methodology: https://www.pew.org/en/research-and-analysis/data-visualizations/2014/fiscal-50/reserves-and-balances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserves and Balances: Reserves and Balances Data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/Region,Total balances: days 2000,Total balances: days 2001,Total balances: days 2002,Total balances: days 2003,Total balances: days 2004,Total balances: days 2005,Total balances: days 2006,Total balances: days 2007,Total balances: days 2008,Total balances: days 2009,Total balances: days 2010,Total balances: days 2011,Total balances: days 2012,Total balances: days 2013,Total balances: days 2014,Total balances: days 2015,Total balances: days 2016,Total balances: days 2017,Total balances: days 2018,Total balances: days 2019,Total balances: days 2020,Total balances: days 2021,Total balances: days 2022,Total balances: days 2023,Total balances: days 2024,Total balances: days 2025,Total balances: balances 2000,Total balances: balances 2001,Total balances: balances 2002,Total balances: balances 2003,Total balances: balances 2004,Total balances: balances 2005,Total balances: balances 2006,Total balances: balances 2007,Total balances: balances 2008,Total balances: balances 2009,Total balances: balances 2010,Total balances: balances 2011,Total balances: balances 2012,Total balances: balances 2013,Total balances: balances 2014,Total balances: balances 2015,Total balances: balances 2016,Total balances: balances 2017,Total balances: balances 2018,Total balances: balances 2019,Total balances: balances 2020,Total balances: balances 2021,Total balances: balances 2022,Total balances: balances 2023,Total balances: balances 2024,Total balances: balances 2025,Total balances: % of state spending 2000,Total balances: % of state spending 2001,Total balances: % of state spending 2002,Total balances: % of state spending 2003,Total balances: % of state spending 2004,Total balances: % of state spending 2005,Total balances: % of state spending 2006,Total balances: % of state spending 2007,Total balances: % of state spending 2008,Total balances: % of state spending 2009,Total balances: % of state spending 2010,Total balances: % of state spending 2011,Total balances: % of state spending 2012,Total balances: % of state spending 2013,Total balances: % of state spending 2014,Total balances: % of state spending 2015,Total balances: % of state spending 2016,Total balances: % of state spending 2017,Total balances: % of state spending 2018,Total balances: % of state spending 2019,Total balances: % of state spending 2020,Total balances: % of state spending 2021,Total balances: % of state spending 2022,Total balances: % of state spending 2023,Total balances: % of state spending 2024,Total balances: % of state spending 2025,Rainy day funds: days 2000,Rainy day funds: days 2001,Rainy day funds: days 2002,Rainy day funds: days 2003,Rainy day funds: days 2004,Rainy day funds: days 2005,Rainy day funds: days 2006,Rainy day funds: days 2007,Rainy day funds: days 2008,Rainy day funds: days 2009,Rainy day funds: days 2010,Rainy day funds: days 2011,Rainy day funds: days 2012,Rainy day funds: days 2013,Rainy day funds: days 2014,Rainy day funds: days 2015,Rainy day funds: days 2016,Rainy day funds: days 2017,Rainy day funds: days 2018,Rainy day funds: days 2019,Rainy day funds: days 2020,Rainy day funds: days 2021,Rainy day funds: days 2022,Rainy day funds: days 2023,Rainy day funds: days 2024,Rainy day funds: days 2025,Rainy day funds: balances 2000,Rainy day funds: balances 2001,Rainy day funds: balances 2002,Rainy day funds: balances 2003,Rainy day funds: balances 2004,Rainy day funds: balances 2005,Rainy day funds: balances 2006,Rainy day funds: balances 2007,Rainy day funds: balances 2008,Rainy day funds: balances 2009,Rainy day funds: balances 2010,Rainy day funds: balances 2011,Rainy day funds: balances 2012,Rainy day funds: balances 2013,Rainy day funds: balances 2014,Rainy day funds: balances 2015,Rainy day funds: balances 2016,Rainy day funds: balances 2017,Rainy day funds: balances 2018,Rainy day funds: balances 2019,Rainy day funds: balances 2020,Rainy day funds: balances 2021,Rainy day funds: balances 2022,Rainy day funds: balances 2023,Rainy day funds: balances 2024,Rainy day funds: balances 2025,Rainy day funds: % of state spending 2000,Rainy day funds: % of state spending 2001,Rainy day funds: % of state spending 2002,Rainy day funds: % of state spending 2003,Rainy day funds: % of state spending 2004,Rainy day funds: % of state spending 2005,Rainy day funds: % of state spending 2006,Rainy day funds: % of state spending 2007,Rainy day funds: % of state spending 2008,Rainy day funds: % of state spending 2009,Rainy day funds: % of state spending 2010,Rainy day funds: % of state spending 2011,Rainy day funds: % of state spending 2012,Rainy day funds: % of state spending 2013,Rainy day funds: % of state spending 2014,Rainy day funds: % of state spending 2015,Rainy day funds: % of state spending 2016,Rainy day funds: % of state spending 2017,Rainy day funds: % of state spending 2018,Rainy day funds: % of state spending 2019,Rainy day funds: % of state spending 2020,Rainy day funds: % of state spending 2021,Rainy day funds: % of state spending 2022,Rainy day funds: % of state spending 2023,Rainy day funds: % of state spending 2024,Rainy day funds: % of state spending 2025
Hawaii,31.68807,40.17105,18.35932,11.24051,22.67766,47.14489,61.29747,37.63957,27.29906,1.60255,3.0179,9.25594,19.83516,55.93184,43.50916,52.26237,59.86102,58.76102,52.66469,52.12593,48.22752,65.42303,121.5558,109.57681,105.84343,120.32339,277900000,370300000,183900000,117200000,238600000,540500000,785800000,554900000,404400000,23600000,40000000,126000000,299500000,868200000,748000000,918300000,1128700000,1205100000,1126000000,1130310000,1061600000,1569400000,2944789200,3152600000,3109100000,3577000000,0.08682,0.11006,0.0503,0.0308,0.06213,0.12916,0.16794,0.10312,0.07479,0.00439,0.00827,0.02536,0.05434,0.15324,0.1192,0.14318,0.164,0.16099,0.14429,0.14281,0.13213,0.17924,0.33303,0.30021,0.28998,0.32965,0.66136,2.29983,4.99166,0,5.13241,4.71885,4.17335,4.17162,4.99538,4.10143,4.75319,0.7346,1.60271,1.55903,4.83952,5.13347,5.35127,15.17908,17.57205,17.44126,2.67577,13.31889,13.44895,33.84348,51.61616,52.7445,5800000,21200000,50000000,0,54000000,54100000,53500000,61500000,74000000,60400000,63000000,10000000,24200000,24200000,83200000,90200000,100900000,311300000,375700000,378200000,58900000,319500000,325811810,973700000,1516200000,1568000000,0.00181,0.0063,0.01368,0,0.01406,0.01293,0.01143,0.01143,0.01369,0.01124,0.01302,0.00201,0.00439,0.00427,0.01326,0.01406,0.01466,0.04159,0.04814,0.04778,0.00733,0.03649,0.03685,0.09272,0.14141,0.14451
Idaho,47.42742,47.50629,10.03082,2.97611,18.3694,39.84837,67.61149,53.30442,49.65871,15.81219,4.48496,11.91885,23.23738,35.86924,37.01187,47.61248,50.62938,57.50789,69.59451,55.69687,61.96527,147.60188,183.07832,121.05075,176.90302,176.88966,218400000,238000000,54400000,15700000,100000000,230400000,410800000,376300000,380100000,128200000,30800000,80000000,161000000,265000000,282000000,383000000,421500000,513900000,660900000,564400000,663300000,1677000000,2216000000,1519900000,2476400000,2591700000,0.12994,0.13015,0.02748,0.00815,0.05033,0.10917,0.18524,0.14604,0.13605,0.04332,0.01229,0.03265,0.06366,0.09827,0.1014,0.13045,0.13871,0.15756,0.19067,0.15259,0.16977,0.40439,0.50158,0.33165,0.48467,0.48463,7.81771,10.61905,9.77267,0,0,2.76725,17.87392,17.22513,18.36889,15.81219,4.48496,1.63884,8.80422,25.04079,31.23697,42.01832,44.56346,46.2167,44.43771,45.69038,44.56118,69.31215,72.90912,87.88704,154.0365,148.24414,36000000,53200000,53000000,0,0,16000000,108600000,121600000,140600000,128200000,30800000,11000000,61000000,185000000,238000000,338000000,371000000,413000000,422000000,463000000,477000000,787500000,882500000,1103500000,2156300000,2172000000,0.02142,0.02909,0.02677,0,0,0.00758,0.04897,0.04719,0.05033,0.04332,0.01229,0.00449,0.02412,0.0686,0.08558,0.11512,0.12209,0.12662,0.12175,0.12518,0.12209,0.1899,0.19975,0.24079,0.42202,0.40615
Illinois,23.9822,20.12522,7.73385,9.04781,7.12939,12.7184,13.06535,13.08101,5.60546,7.57324,6.57044,5.86752,0.4986,1.85561,4.05478,10.63926,12.86802,16.10256,1.28955,4.65144,4.65946,8.22383,15.57208,28.02504,32.06087,36.01986,1516700000,1350700000,481800000,542700000,458000000,773000000,866000000,918000000,417000000,556000000,453000000,469000000,40000000,154000000,349700000,896700000,967400000,1368100000,125100000,466100000,535149000,980100000,2062000000,3850794000,4671575970,5455775970,0.0657,0.05514,0.02119,0.02479,0.01953,0.03484,0.0358,0.03584,0.01536,0.02075,0.018,0.01608,0.00137,0.00508,0.01111,0.02915,0.03525,0.04412,0.00353,0.01274,0.01277,0.02253,0.04266,0.07678,0.08784,0.09868,0,3.35247,3.62775,3.76284,4.29632,4.54111,4.16401,3.93285,3.71009,3.75938,0,0,0,0,3.19675,3.27115,3.67791,0.11652,0.03917,0.03593,0.03612,0.0344,5.67905,14.11928,13.31462,15.56202,0,225000000,226000000,225700000,276000000,276000000,276000000,276000000,276000000,276000000,0,0,0,0,275700000,275700000,276500000,9900000,3800000,3600000,4149000,4100000,752000000,1940067000,1940067250,2357113100,0,0.00918,0.00994,0.01031,0.01177,0.01244,0.01141,0.01077,0.01016,0.0103,0,0,0,0,0.00876,0.00896,0.01008,0.00032,0.00011,0.0001,0.0001,0.00009,0.01556,0.03868,0.03648,0.04264
Indiana,55.86485,21.36281,10.09089,25.49608,7.86887,13.46513,22.55506,38.31893,40.51701,37.26984,23.54592,33.04705,57.27377,49.78006,50.29441,52.32964,54.65078,41.97023,41.4148,50.89691,31.3458,80.74449,121.39842,49.42265,42.17903,39.96469,1372500000,544500000,269200000,720100000,242400000,435300000,738700000,1285700000,1413100000,1329400000,830700000,1181500000,2155000000,1943100000,2005300000,2141200000,2244500000,1777100000,1785500000,2270100000,1418900000,3922700000,6124700000,2926200000,2551300000,2502600000,0.15305,0.05853,0.02765,0.06985,0.02156,0.03689,0.06179,0.10498,0.11101,0.10211,0.06451,0.09054,0.15691,0.13638,0.13779,0.14337,0.14973,0.11499,0.11347,0.13944,0.08588,0.22122,0.3326,0.1354,0.11556,0.10949,21.97554,20.63306,10.08339,9.86065,7.86238,9.79029,10.01803,10.25852,10.40809,10.23841,0,1.59991,9.34453,13.19629,24.30073,30.6519,35.74641,34.82129,32.91613,32.18696,19.37656,26.78995,32.04282,35.38055,31.18336,29.16148,539900000,525900000,269000000,278500000,242200000,316500000,328100000,344200000,363000000,365200000,0,57200000,351600000,515100000,968900000,1254200000,1468100000,1474400000,1419100000,1435600000,877100000,1301500000,1616600000,2094800000,1886200000,1826100000,0.06021,0.05653,0.02763,0.02702,0.02154,0.02682,0.02745,0.02811,0.02852,0.02805,0,0.00438,0.0256,0.03615,0.06658,0.08398,0.09794,0.0954,0.09018,0.08818,0.05309,0.0734,0.08779,0.09693,0.08543,0.07989
Iowa,47.46709,30.31629,20.242,-3.68947,26.58277,31.06754,39.33901,41.43676,39.71731,31.92366,48.85773,67.94748,78.38102,87.58042,77.76161,57.34,38.95725,30.4393,37.77535,50.74361,50.54004,95.32937,123.32478,121.47998,128.54059,122.18379,619400000,405200000,254600000,-45800000,329000000,391800000,541100000,611300000,640700000,519000000,709200000,994900000,1289400000,1538800000,1376700000,1108500000,773200000,605300000,747600000,1046500000,1082900000,2039500000,2744500000,2733000000,3014400000,2992800000,0.13005,0.08306,0.05546,-0.01011,0.07283,0.08512,0.10778,0.11353,0.10881,0.08746,0.13386,0.18616,0.21474,0.23995,0.21305,0.1571,0.10673,0.0834,0.10349,0.13902,0.13847,0.26118,0.33788,0.33282,0.35217,0.33475,34.01016,30.31629,13.19785,0,13.17019,17.88881,28.48461,36.27157,36.72317,31.92366,29.06525,30.07063,36.55228,34.78061,37.83867,36.09549,36.7353,30.4393,31.34303,36.71578,36.28205,37.44465,37.30973,40.09328,40.98766,37.96402,443800000,405200000,166000000,0,163000000,225600000,391800000,535100000,592400000,519000000,421900000,440300000,601300000,611100000,669900000,697800000,729100000,605300000,620300000,757200000,777400000,801100000,830300000,902000000,961200000,929900000,0.09318,0.08306,0.03616,0,0.03608,0.04901,0.07804,0.09937,0.10061,0.08746,0.07963,0.08239,0.10014,0.09529,0.10367,0.09889,0.10064,0.0834,0.08587,0.10059,0.0994,0.10259,0.10222,0.10984,0.11229,0.10401
Kansas,31.58943,30.13376,0.98889,10.82429,27.69315,37.25411,52.10126,60.85828,31.50038,2.99136,-1.87766,12.12888,30.10692,42.20097,23.16405,4.1843,2.21665,6.31546,41.81325,57.35433,27.98697,109.31719,124.86573,168.16164,191.27782,170.68076,378000000,365700000,12100000,122700000,327500000,478700000,733600000,935000000,526600000,49700000,-27100000,188300000,503000000,709300000,379700000,71500000,37137140,108600000,761700000,1105100000,576800000,2176700000,2803800000,4020666000,4907821960,4823438170,0.08655,0.08256,0.00271,0.02966,0.07587,0.10207,0.14274,0.16674,0.0863,0.0082,-0.00514,0.03323,0.08248,0.11562,0.06346,0.01146,0.00607,0.0173,0.11456,0.15714,0.07668,0.2995,0.3421,0.46072,0.52405,0.46762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97388,4.11314,43.1628,67.34971,65.75372,66.88606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81900000,81900000,969200000,1610300000,1687114260,1890200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01089,0.01127,0.11825,0.18452,0.18015,0.18325
Kentucky,25.29907,12.4423,1.21124,8.52148,15.02797,23.59243,34.6321,33.68106,11.60686,1.85738,3.45493,12.03502,8.18951,9.3631,5.82801,10.75705,18.27069,8.69485,3.95683,8.11248,20.5964,103.98826,80.78493,102.9782,133.82329,122.60582,453900000,240000000,23500000,167600000,300300000,497600000,800400000,810800000,300500000,46600000,80000000,289800000,211700000,244400000,157500000,297896700,516600000,266053400,122820360,259186000,655794960,3278650000,2911858940,4081280000,5241400000,5330958000,0.06931,0.03409,0.00332,0.02335,0.04117,0.06464,0.09488,0.09228,0.0318,0.00509,0.00947,0.03297,0.02244,0.02565,0.01597,0.02947,0.05006,0.02382,0.01084,0.02223,0.05643,0.2849,0.22133,0.28213,0.36664,0.33591,15.52836,12.43193,0,0.25931,2.54219,1.36548,5.14895,9.61663,8.29668,0.28299,0,0,4.70791,4.66239,2.85295,2.78408,8.33605,4.91847,3.02125,4.04081,9.52253,55.9056,28.67353,93.69843,133.44031,110.65889,278600000,239800000,0,5100000,50800000,28800000,119000000,231500000,214800000,7100000,0,0,121700000,121700000,77100000,77100000,235700000,150500000,93779980,129100000,303200000,1762650000,1033525520,3713500000,5226400000,4811500000,0.04254,0.03406,0,0.00071,0.00696,0.00374,0.01411,0.02635,0.02273,0.00078,0,0,0.0129,0.01277,0.00782,0.00763,0.02284,0.01348,0.00828,0.01107,0.02609,0.15317,0.07856,0.25671,0.36559,0.30318
Louisiana,-1.38179,15.6803,15.98429,1.3017,15.29022,36.5735,71.13456,68.28229,62.1924,36.17122,22.53216,29.69436,5.01864,26.3872,26.49437,14.99535,1.89287,16.33439,23.9067,34.29546,30.1858,43.8902,41.51016,33.20505,43.70161,34.39554,-22000000,269800000,284100000,23027000,283200000,714095000,1508462000,1770700000,1641300000,929719230,536000000,633100000,113219020,605000000,623017000,352822000,45139170,409412000,629122310,939792100,838671930,1245148580,1447741080,1299300000,1652588870,1227598080,-0.00379,0.04296,0.04379,0.00357,0.04189,0.1002,0.19489,0.18707,0.17039,0.0991,0.06173,0.08135,0.01375,0.07229,0.07259,0.04108,0.00519,0.04475,0.0655,0.09396,0.0827,0.12025,0.11373,0.09097,0.11973,0.09423,3.70571,11.43186,14.96593,0,12.92002,23.64669,32.12336,26.32649,29.38916,33.21365,27.06802,30.33693,19.63234,19.35942,18.90299,19.9713,15.05359,11.44224,12.2007,14.78984,20.4522,19.24345,20.67911,24.88909,27.96488,34.36758,59000000,196700000,266000000,0,239300000,461700000,681200000,682700000,775600000,853700000,643900000,646800000,442900000,443868560,444505000,469900000,358982170,286793000,321070310,405283100,568236930,545929580,721221080,973900000,1057500000,1226600000,0.01015,0.03132,0.041,0,0.0354,0.06479,0.08801,0.07213,0.08052,0.091,0.07416,0.08311,0.05379,0.05304,0.05179,0.05472,0.04124,0.03135,0.03343,0.04052,0.05603,0.05272,0.05666,0.06819,0.07662,0.09416
Maine,70.03539,25.18336,4.88033,4.1641,6.61527,10.57876,11.99763,18.28379,15.31477,6.31312,0.07686,2.41402,10.15638,7.98215,12.25167,16.61554,21.17927,28.99405,37.63508,44.67474,42.38339,61.16292,84.29005,88.00155,92.75274,78.54011,444600000,182500000,34300000,28900000,47900000,80700000,94400000,151500000,131300000,52200000,600000,19000000,87100000,67400000,105700000,144100000,193300000,265800000,362400000,447800000,456800000,652600000,940700000,1072100000,1290000000,1186300000,0.19188,0.069,0.01337,0.01141,0.01812,0.02898,0.03287,0.05009,0.04196,0.0173,0.00021,0.00661,0.02783,0.02187,0.03357,0.04552,0.05803,0.07944,0.10311,0.1224,0.11612,0.16757,0.23093,0.2411,0.25412,0.21518,22.63627,19.82931,2.84567,0,4.55749,6.16111,10.15478,13.93913,15.20979,0,0.02562,0,5.22395,7.07025,10.80279,13.66372,13.40002,22.76546,29.8879,30.78746,25.30199,46.60791,81.27937,74.4578,69.62207,68.19212,143700000,143700000,20000000,0,33000000,47000000,79900000,115500000,130400000,0,200000,0,44800000,59700000,93200000,118500000,122300000,208700000,287800000,308600000,272700000,497300000,907100000,907100000,968300000,1030000000,0.06202,0.05433,0.0078,0,0.01249,0.01688,0.02782,0.03819,0.04167,0,0.00007,0,0.01431,0.01937,0.0296,0.03743,0.03671,0.06237,0.08188,0.08435,0.06932,0.12769,0.22268,0.20399,0.19075,0.18683
Maryland,61.41321,50.87879,28.5745,21.62166,33.80335,54.95188,62.71412,44.21129,29.62317,19.87148,25.97397,44.51477,29.88066,29.17355,21.23842,24.96302,26.69041,23.03312,30.53923,37.71224,35.14474,74.68975,123.29963,72.31364,46.24108,32.51044,1518000000,1426000000,857000000,612900000,949300000,1695800000,2120512140,1716900000,1171852000,779000000,955600000,1614515070,1222680800,1207297610,911157420,1093900000,1216900000,1091000000,1446380000,1850700000,1880600000,3870300000,7161040000,5541820000,3470879000,2455790700,0.16826,0.13939,0.07829,0.05924,0.09261,0.15055,0.17182,0.12113,0.08116,0.05444,0.07116,0.12196,0.08186,0.07993,0.05819,0.06839,0.07312,0.0631,0.08367,0.10332,0.09629,0.20463,0.33781,0.19812,0.12669,0.08907,23.54578,31.68328,18.27167,17.29309,17.68329,16.89581,22.4415,36.88008,17.3098,17.6471,16.62377,17.21571,16.41124,17.03586,17.79897,17.65143,18.25713,17.57568,18.09069,17.86069,21.99957,12.18101,28.62168,38.59288,32.11676,28.92431,582000000,888000000,548000000,490200000,496600000,521400000,758800000,1432200000,684752000,691800000,611600000,624400000,671528290,705000000,763600000,773500000,832400000,832500000,856800000,876500000,1177200000,631200000,1662300000,2957600000,2410700000,2184900000,0.06451,0.0868,0.05006,0.04738,0.04845,0.04629,0.06148,0.10104,0.04742,0.04835,0.04554,0.04717,0.04496,0.04667,0.04876,0.04836,0.05002,0.04815,0.04956,0.04893,0.06027,0.03337,0.07842,0.10573,0.08799,0.07924
Massachusetts,33.37395,49.6371,22.21828,12.23873,30.23735,47.57485,57.47167,58.29016,33.3246,16.59796,15.06734,30.45873,29.65954,26.6548,19.29435,20.02052,18.14501,17.41412,27.65243,43.74065,45.86016,143.66498,165.23372,124.27006,111.79935,91.33306,1905291000,3011000000,1387900000,752400000,1892800000,2487200000,3208100000,3634000000,2225800000,1016600000,903000000,1900800000,1989700000,1874300000,1455000000,1570700000,1482000000,1447700000,2386700000,3959200000,4295200000,12099150000,18200200000,15338500000,15004300000,13085600000,0.09144,0.13599,0.06087,0.03353,0.08284,0.13034,0.15746,0.1597,0.0913,0.04547,0.04128,0.08345,0.08126,0.07303,0.05286,0.05485,0.04971,0.04771,0.07576,0.11984,0.12564,0.3936,0.4527,0.34047,0.3063,0.25023,28.17286,37.82047,14.11955,10.43155,18.16829,33.06062,38.60048,37.45391,31.72858,13.73585,11.17619,22.09892,24.62709,22.13957,16.54938,15.96339,15.81261,15.64588,23.18716,37.83226,37.38257,54.93375,62.98332,65.10719,63.51066,57.42377,1608365000,2294200000,882000000,641300000,1137300000,1728400000,2154700000,2335000000,2119200000,841300000,669800000,1379100000,1652100000,1556800000,1248000000,1252400000,1291500000,1300700000,2001300000,3424400000,3501200000,4626400000,6937500000,8036100000,8523600000,8227300000,0.07719,0.10362,0.03868,0.02858,0.04978,0.09058,0.10575,0.10261,0.08693,0.03763,0.03062,0.06054,0.06747,0.06066,0.04534,0.04374,0.04332,0.04287,0.06353,0.10365,0.10242,0.1505,0.17256,0.17838,0.174,0.15733
Michigan,56.26702,38.3916,10.38743,7.27075,3.41613,9.3907,0.18599,10.61009,16.98954,7.7441,8.97199,24.69434,59.50178,69.78026,28.1482,47.31019,45.86103,49.58127,64.96033,72.24148,138.10933,209.89135,289.11536,123.43415,97.34304,72.42335,1476200000,1022300000,259700000,174000000,81900000,222400000,4600000,261200000,460100000,179400000,189400000,555900000,1344300000,1692200000,692600000,1192800000,1216800000,1332500000,1794400000,2064800000,3363700000,5745100000,9052400000,5705600000,4145000000,3051900000,0.15416,0.10518,0.02846,0.01992,0.00936,0.02573,0.00051,0.02907,0.04655,0.02122,0.02458,0.06766,0.16302,0.19118,0.07712,0.12962,0.12565,0.13584,0.17797,0.19792,0.37838,0.57504,0.7921,0.33818,0.26669,0.19842,48.19403,37.33633,5.79968,0,3.41613,0.08023,0.08491,0.0853,0.08124,0.09497,0.10422,0.09773,16.16016,20.84913,15.69569,19.75621,23.08128,26.41854,36.42253,40.18625,34.04592,50.50092,50.74625,38.51476,46.8867,50.98752,1264400000,994200000,145000000,0,81900000,1900000,2100000,2100000,2200000,2200000,2200000,2200000,365100000,505600000,386200000,498100000,612400000,710000000,1006100000,1148600000,829200000,1382300000,1588900000,1780300000,1996500000,2148600000,0.13204,0.10229,0.01589,0,0.00936,0.00022,0.00023,0.00023,0.00022,0.00026,0.00029,0.00027,0.04427,0.05712,0.043,0.05413,0.06324,0.07238,0.09979,0.1101,0.09328,0.13836,0.13903,0.10552,0.12846,0.13969
Minnesota,67.59766,45.23314,32.34771,9.69099,34.04505,68.65575,42.57938,51.38134,41.21141,9.67408,10.97221,30.88101,39.51622,33.3465,35.57686,37.8262,56.19227,57.6531,53.62137,62.87565,51.32946,106.7363,191.75254,221.27955,122.13173,76.75188,2125400000,1574200000,1130300000,368900000,1268500000,2732800000,1813100000,2244900000,1920000000,446900000,439700000,1297400000,1795000000,1712000000,1885866000,2103017000,3102423000,3333262000,3282980000,3971359000,3343865000,6914924000,12969000000,16516196000,11805735000,7464476000,0.1852,0.12393,0.08862,0.02655,0.09327,0.1881,0.11666,0.14077,0.11291,0.0265,0.03006,0.08461,0.10826,0.09136,0.09747,0.10363,0.15395,0.15795,0.14691,0.17226,0.14063,0.29243,0.52535,0.60625,0.33461,0.21028,43.88091,45.23314,0,2.72419,26.91934,33.6571,26.13098,26.21366,26.23149,0,0,0.20708,14.47681,12.77763,12.46961,17.88481,35.66431,34.25124,34.17575,39.261,46.21152,44.19319,48.08053,42.90085,66.47058,36.26943,1379700000,1574200000,0,103700000,1003000000,1339700000,1112700000,1145300000,1222100000,0,0,8700000,657600000,656000000,660992000,994339000,1969057000,1980264000,2092418000,2479808000,3010456000,2863061000,3251881000,3202098000,6425308000,3527370000,0.12022,0.12393,0,0.00746,0.07375,0.09221,0.07159,0.07182,0.07187,0,0,0.00057,0.03966,0.03501,0.03416,0.049,0.09771,0.09384,0.09363,0.10756,0.12661,0.12108,0.13173,0.11754,0.18211,0.09937
Mississippi,28.48512,20.95578,12.13709,6.70354,4.47229,7.13526,9.17914,42.3572,28.45022,24.99488,22.12966,19.46591,11.60917,6.58586,10.16285,29.26918,22.6848,17.61019,19.64569,23.37689,32.44336,36.25641,35.60682,33.84262,35.7402,35.27887,274300000,207600000,119000000,63500000,44000000,71900000,108500000,507300000,401000000,341300000,261900000,241500000,152770000,85600000,150800000,443400000,356400000,272900000,300100000,354400000,509440740,552200000,562500000,588500000,652900000,679500000,0.07804,0.05741,0.03325,0.01837,0.01225,0.01955,0.02515,0.11605,0.07795,0.06848,0.06063,0.05333,0.03181,0.01804,0.02784,0.08019,0.06215,0.04825,0.05382,0.06405,0.08889,0.09933,0.09755,0.09272,0.09792,0.09665,24.08202,19.12871,11.32115,2.38583,4.16736,1.97485,6.20967,4.52545,25.89609,24.46027,21.71563,15.3954,7.56872,2.42354,7.37952,26.07426,22.26471,17.32626,19.33146,23.06687,31.88998,35.567,35.34096,33.43432,35.1271,34.95697,231900000,189500000,111000000,22600000,41000000,19900000,73400000,54200000,365000000,334000000,257000000,191000000,99600000,31500000,109500000,395000000,349800000,268500000,295300000,349700000,500751390,541700000,558300000,581400000,641700000,673300000,0.06598,0.05241,0.03102,0.00654,0.01142,0.00541,0.01701,0.0124,0.07095,0.06701,0.05949,0.04218,0.02074,0.00664,0.02022,0.07144,0.061,0.04747,0.05296,0.0632,0.08737,0.09744,0.09682,0.0916,0.09624,0.09577
Missouri,23.01332,26.48965,30.32115,38.79973,51.0737,39.12545,60.85665,59.80601,62.98513,35.5556,34.35045,42.36244,32.27093,43.28072,32.48217,34.26219,29.86786,30.26521,43.77621,49.93758,57.6614,110.29037,197.77081,194.05279,143.60521,136.34163,463400000,561000000,634900000,678400000,932200000,763300000,1188000000,1288500000,1393300000,823000000,712400000,885700000,701800000,951500000,746200000,820800000,738800000,759208000,1111400000,1305300000,1455200000,2958030000,5671200000,6659020000,5729190460,5277667220,0.06305,0.07257,0.08307,0.1063,0.13993,0.10719,0.16673,0.16385,0.17256,0.09741,0.09411,0.11606,0.08841,0.11858,0.08899,0.09387,0.08183,0.08292,0.11993,0.13682,0.15798,0.30217,0.54184,0.53165,0.39344,0.37354,14.5708,21.34282,22.44119,26.44604,24.33699,23.74796,25.25448,24.90177,25.19315,24.19336,25.43013,24.23512,22.89038,22.94811,24.25498,22.65779,23.67436,23.57169,24.2711,24.91714,25.84698,22.51646,26.92531,26.03196,23.2558,24.65981,293400000,452000000,469900000,462400000,444200000,463300000,493000000,536500000,557300000,560000000,527400000,506700000,497800000,504500000,557200000,542800000,585600000,591300000,616200000,651300000,652300000,603900000,772100000,893300000,927800000,954560120,0.03992,0.05847,0.06148,0.07245,0.06668,0.06506,0.06919,0.06822,0.06902,0.06628,0.06967,0.0664,0.06271,0.06287,0.06645,0.06208,0.06486,0.06458,0.0665,0.06827,0.07081,0.06169,0.07377,0.07132,0.06371,0.06756
