United Van Lines 49th Annual National Movers Study,,,,,
https://www.unitedvanlines.com/newsroom/2025-national-movers-study,,,,,
"These data were taken from the ""2025 Inbound-Outbound State Rankings.pdf"" file",,,,,
,,,,,
state,uvl_total_shipments,uvl_inbound_shipments,uvl_inbound_pct,uvl_outbound_shipments,uvl_outbound_pct
Alabama,1874,1070,0.571,804,0.429
Arizona,4432,2506,0.5654,1926,0.4346
Arkansas,959,549,0.5725,410,0.4275
California,17067,7200,0.4219,9867,0.5781
Colorado,6633,2986,0.4502,3647,0.5498
Connecticut,1685,783,0.4647,902,0.5353
Delaware,513,306,0.5965,207,0.4035
District of Columbia,908,517,0.5694,391,0.4306
Florida,12803,6682,0.5219,6121,0.4781
Georgia,5364,2773,0.517,2591,0.483
Idaho,936,541,0.578,395,0.422
Illinois,5480,2502,0.4566,2978,0.5434
Indiana,2057,1172,0.5698,885,0.4302
Iowa,998,514,0.515,484,0.485
Kansas,1803,903,0.5008,900,0.4992
Kentucky,1761,911,0.5173,850,0.4827
Louisiana,1670,846,0.5066,824,0.4934
Maine,831,429,0.5162,402,0.4838
Maryland,3340,1591,0.4763,1749,0.5237
Massachusetts,3135,1421,0.4533,1714,0.5467
Michigan,3247,1595,0.4912,1652,0.5088
Minnesota,1826,1062,0.5816,764,0.4184
Mississippi,1038,468,0.4509,570,0.5491
Missouri,2970,1543,0.5195,1427,0.4805
Montana,779,408,0.5237,371,0.4763
Nebraska,1104,503,0.4556,601,0.5444
Nevada,2142,1221,0.57,921,0.43
New Hampshire,632,312,0.4937,320,0.5063
New Jersey,3191,1202,0.3767,1989,0.6233
New Mexico,1533,811,0.529,722,0.471
New York,6412,2703,0.4216,3709,0.5784
North Carolina,7538,4355,0.5777,3183,0.4223
North Dakota,498,216,0.4337,282,0.5663
Ohio,4447,2175,0.4891,2272,0.5109
Oklahoma,1648,876,0.5316,772,0.4684
Oregon,1842,1188,0.645,654,0.355
Pennsylvania,4273,2092,0.4896,2181,0.5104
Rhode Island,601,337,0.5607,264,0.4393
South Carolina,3931,2390,0.608,1541,0.392
South Dakota,394,198,0.5025,196,0.4975
Tennessee,4049,2268,0.5601,1781,0.4399
Texas,16766,8500,0.507,8266,0.493
Utah,1658,870,0.5247,788,0.4753
Virginia,8204,4248,0.5178,3956,0.4822
Washington,8036,3828,0.4764,4208,0.5236
West Virginia,293,182,0.6212,111,0.3788
Wisconsin,2097,1119,0.5336,978,0.4664
Wyoming,382,176,0.4607,206,0.5393
